"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular response to lipoprotein particle stimulus","GO:0071402","0.002369792955955033","2.6252895957680003","26","13","3","16178","ENSG00000095970,ENSG00000151694,ENSG00000130203"
"GO:BP","positive regulation of immune system process","GO:0002684","0.0023793853548225254","2.6235352158357794","869","168","26","16178","ENSG00000161929,ENSG00000095970,ENSG00000151694,ENSG00000137845,ENSG00000120885,ENSG00000071051,ENSG00000095585,ENSG00000125826,ENSG00000168421,ENSG00000203896,ENSG00000066336,ENSG00000196735,ENSG00000131042,ENSG00000197721,ENSG00000196126,ENSG00000104951,ENSG00000142192,ENSG00000239961,ENSG00000158869,ENSG00000113249,ENSG00000107679,ENSG00000197943,ENSG00000145901,ENSG00000188056,ENSG00000167085,ENSG00000113263"
"GO:BP","regulation of amyloid fibril formation","GO:1905906","0.0027462340161423303","2.5612624577806318","16","22","3","16178","ENSG00000095970,ENSG00000130203,ENSG00000120885"
"GO:BP","myeloid leukocyte activation","GO:0002274","0.0027479508503266644","2.5609910393063764","166","167","11","16178","ENSG00000105383,ENSG00000095970,ENSG00000137845,ENSG00000120885,ENSG00000030582,ENSG00000066336,ENSG00000142192,ENSG00000158869,ENSG00000113249,ENSG00000197943,ENSG00000135077"
"GO:BP","immune response-regulating signaling pathway","GO:0002764","0.002779875488952053","2.5559746557625145","427","383","28","16178","ENSG00000105383,ENSG00000161929,ENSG00000095970,ENSG00000095585,ENSG00000125826,ENSG00000203896,ENSG00000103811,ENSG00000131042,ENSG00000196126,ENSG00000239961,ENSG00000158869,ENSG00000107679,ENSG00000197943,ENSG00000145901,ENSG00000188056,ENSG00000167085,ENSG00000113263,ENSG00000168918,ENSG00000154124,ENSG00000203710,ENSG00000103490,ENSG00000101782,ENSG00000050748,ENSG00000077454,ENSG00000129219,ENSG00000025434,ENSG00000247315,ENSG00000213413"
"GO:BP","high-density lipoprotein particle assembly","GO:0034380","0.0029932582598649173","2.5238558103915345","10","147","4","16178","ENSG00000064687,ENSG00000130203,ENSG00000165029,ENSG00000158874"
"GO:BP","negative regulation of amyloid-beta formation","GO:1902430","0.0033317752494502694","2.4773243023479727","17","22","3","16178","ENSG00000064687,ENSG00000130203,ENSG00000120885"
"GO:BP","positive regulation of molecular function","GO:0044093","0.0033469625252648167","2.4753491502540586","1054","30","11","16178","ENSG00000105383,ENSG00000187116,ENSG00000146904,ENSG00000095970,ENSG00000138613,ENSG00000151694,ENSG00000130203,ENSG00000073921,ENSG00000120885,ENSG00000125826,ENSG00000134571"
"GO:BP","negative regulation of humoral immune response mediated by circulating immunoglobulin","GO:0002924","0.0038442871716724797","2.4151841776074563","10","1263","7","16178","ENSG00000197721,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000123838,ENSG00000072694,ENSG00000123843"
"GO:BP","positive regulation of amyloid fibril formation","GO:1905908","0.004856108084789829","2.313711655519","5","98","3","16178","ENSG00000130203,ENSG00000120885,ENSG00000142192"
"GO:BP","protein-lipid complex assembly","GO:0065005","0.0048623814205958895","2.3131509767220333","24","147","5","16178","ENSG00000064687,ENSG00000130203,ENSG00000165029,ENSG00000136717,ENSG00000158874"
"GO:BP","regulation of cholesterol efflux","GO:0010874","0.004956793232566372","2.3047991968560657","33","13","3","16178","ENSG00000064687,ENSG00000095970,ENSG00000130203"
