"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of epithelial cell migration","GO:0010632","0.00010095590161537603","3.9958682882698575","205","868","32","16178","ENSG00000130203,ENSG00000197943,ENSG00000154229,ENSG00000145147,ENSG00000150760,ENSG00000048052,ENSG00000103811,ENSG00000120899,ENSG00000115310,ENSG00000051382,ENSG00000135744,ENSG00000111961,ENSG00000164619,ENSG00000113578,ENSG00000124782,ENSG00000135046,ENSG00000138685,ENSG00000081189,ENSG00000105220,ENSG00000185591,ENSG00000153233,ENSG00000105894,ENSG00000122194,ENSG00000106211,ENSG00000110880,ENSG00000144724,ENSG00000011465,ENSG00000112562,ENSG00000168615,ENSG00000112715,ENSG00000142208,ENSG00000132170"
"GO:BP","positive regulation of small molecule metabolic process","GO:0062013","0.00010395340783977925","3.98316126889382","107","875","22","16178","ENSG00000130203,ENSG00000095970,ENSG00000171105,ENSG00000145335,ENSG00000198911,ENSG00000113578,ENSG00000150907,ENSG00000114166,ENSG00000135046,ENSG00000186951,ENSG00000167986,ENSG00000165280,ENSG00000025434,ENSG00000074800,ENSG00000112531,ENSG00000072310,ENSG00000019582,ENSG00000169047,ENSG00000017427,ENSG00000142208,ENSG00000132170,ENSG00000131408"
"GO:BP","regulation of cellular component size","GO:0032535","0.00010644972024915936","3.9728554755540384","259","683","32","16178","ENSG00000130203,ENSG00000073921,ENSG00000136717,ENSG00000077522,ENSG00000145147,ENSG00000078018,ENSG00000175866,ENSG00000100106,ENSG00000120899,ENSG00000146122,ENSG00000115310,ENSG00000103187,ENSG00000115956,ENSG00000065320,ENSG00000100599,ENSG00000141968,ENSG00000148180,ENSG00000180353,ENSG00000123338,ENSG00000001617,ENSG00000161203,ENSG00000148700,ENSG00000130558,ENSG00000071127,ENSG00000176697,ENSG00000137710,ENSG00000135441,ENSG00000177119,ENSG00000018189,ENSG00000124067,ENSG00000079805,ENSG00000101336"
"GO:BP","epithelial cell migration","GO:0010631","0.0001254120486350609","3.9016607377927306","264","896","38","16178","ENSG00000130203,ENSG00000197943,ENSG00000154229,ENSG00000145147,ENSG00000150760,ENSG00000048052,ENSG00000103811,ENSG00000120899,ENSG00000146122,ENSG00000115310,ENSG00000051382,ENSG00000169855,ENSG00000197256,ENSG00000135744,ENSG00000111961,ENSG00000164619,ENSG00000113578,ENSG00000124782,ENSG00000141646,ENSG00000135046,ENSG00000138685,ENSG00000081189,ENSG00000105220,ENSG00000185591,ENSG00000153233,ENSG00000105894,ENSG00000122194,ENSG00000106211,ENSG00000110880,ENSG00000144724,ENSG00000011465,ENSG00000112562,ENSG00000168615,ENSG00000112715,ENSG00000142208,ENSG00000132170,ENSG00000121879,ENSG00000163220"
"GO:BP","regulation of supramolecular fiber organization","GO:1902903","0.00012747925840501546","3.8945604716459545","317","241","20","16178","ENSG00000130203,ENSG00000095970,ENSG00000131941,ENSG00000136717,ENSG00000131711,ENSG00000077522,ENSG00000145335,ENSG00000145147,ENSG00000078018,ENSG00000175866,ENSG00000100399,ENSG00000120885,ENSG00000100106,ENSG00000149269,ENSG00000120899,ENSG00000146122,ENSG00000103187,ENSG00000115956,ENSG00000104332,ENSG00000148180"
"GO:BP","platelet aggregation","GO:0070527","0.00012982972689955116","3.886625856454683","61","627","14","16178","ENSG00000172500,ENSG00000154229,ENSG00000213719,ENSG00000165025,ENSG00000051382,ENSG00000115956,ENSG00000149781,ENSG00000159176,ENSG00000136854,ENSG00000134352,ENSG00000106211,ENSG00000137076,ENSG00000254087,ENSG00000116266"
"GO:BP","negative regulation of secretion","GO:0051048","0.00013279804118857908","3.8768083308962034","107","736","20","16178","ENSG00000130203,ENSG00000145335,ENSG00000152661,ENSG00000104332,ENSG00000123338,ENSG00000150907,ENSG00000135046,ENSG00000168961,ENSG00000084093,ENSG00000129667,ENSG00000025434,ENSG00000067182,ENSG00000066336,ENSG00000065361,ENSG00000147571,ENSG00000116266,ENSG00000019582,ENSG00000157168,ENSG00000167851,ENSG00000169047"
"GO:BP","amyloid-beta metabolic process","GO:0050435","0.00014280963964148884","3.845242476720834","48","568","12","16178","ENSG00000130203,ENSG00000073921,ENSG00000136717,ENSG00000120885,ENSG00000115310,ENSG00000064687,ENSG00000148053,ENSG00000169242,ENSG00000159640,ENSG00000185591,ENSG00000139970,ENSG00000133318"
"GO:BP","coagulation","GO:0050817","0.00015270769049482595","3.8161390909372694","183","891","30","16178","ENSG00000130203,ENSG00000197943,ENSG00000172500,ENSG00000154229,ENSG00000213719,ENSG00000165025,ENSG00000051382,ENSG00000115956,ENSG00000149781,ENSG00000141968,ENSG00000136869,ENSG00000159176,ENSG00000136854,ENSG00000100605,ENSG00000109072,ENSG00000167397,ENSG00000134352,ENSG00000122194,ENSG00000106211,ENSG00000137076,ENSG00000158869,ENSG00000177119,ENSG00000254087,ENSG00000116266,ENSG00000015285,ENSG00000169313,ENSG00000249853,ENSG00000104368,ENSG00000121879,ENSG00000161911"
"GO:BP","epithelium migration","GO:0090132","0.00015353870947619602","3.813782114046497","266","896","38","16178","ENSG00000130203,ENSG00000197943,ENSG00000154229,ENSG00000145147,ENSG00000150760,ENSG00000048052,ENSG00000103811,ENSG00000120899,ENSG00000146122,ENSG00000115310,ENSG00000051382,ENSG00000169855,ENSG00000197256,ENSG00000135744,ENSG00000111961,ENSG00000164619,ENSG00000113578,ENSG00000124782,ENSG00000141646,ENSG00000135046,ENSG00000138685,ENSG00000081189,ENSG00000105220,ENSG00000185591,ENSG00000153233,ENSG00000105894,ENSG00000122194,ENSG00000106211,ENSG00000110880,ENSG00000144724,ENSG00000011465,ENSG00000112562,ENSG00000168615,ENSG00000112715,ENSG00000142208,ENSG00000132170,ENSG00000121879,ENSG00000163220"
