"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","foam cell differentiation","GO:0090077","0.0012057984973828796","2.9187252616704757","36","1612","15","16178","ENSG00000131408,ENSG00000132170,ENSG00000165029,ENSG00000160179,ENSG00000144891,ENSG00000084674,ENSG00000087237,ENSG00000181092,ENSG00000175445,ENSG00000132693,ENSG00000025434,ENSG00000186951,ENSG00000135744,ENSG00000109320,ENSG00000100906"
"GO:BP","macrophage derived foam cell differentiation","GO:0010742","0.0012057984973828796","2.9187252616704757","36","1612","15","16178","ENSG00000131408,ENSG00000132170,ENSG00000165029,ENSG00000160179,ENSG00000144891,ENSG00000084674,ENSG00000087237,ENSG00000181092,ENSG00000175445,ENSG00000132693,ENSG00000025434,ENSG00000186951,ENSG00000135744,ENSG00000109320,ENSG00000100906"
"GO:BP","visual behavior","GO:0007632","0.001243379917405204","2.905396151468858","16","585","7","16178","ENSG00000142192,ENSG00000176884,ENSG00000064687,ENSG00000160716,ENSG00000149295,ENSG00000125971,ENSG00000151577"
"GO:BP","membrane depolarization during action potential","GO:0086010","0.0012669691971351703","2.897233943661815","27","1980","14","16178","ENSG00000144285,ENSG00000183873,ENSG00000168356,ENSG00000185313,ENSG00000153956,ENSG00000099822,ENSG00000151067,ENSG00000157388,ENSG00000151150,ENSG00000128245,ENSG00000149575,ENSG00000123700,ENSG00000166257,ENSG00000145362"
"GO:BP","positive regulation of lipase activity","GO:0060193","0.0013008683233576923","2.885766661419442","55","857","14","16178","ENSG00000131408,ENSG00000134853,ENSG00000102468,ENSG00000120907,ENSG00000068078,ENSG00000091831,ENSG00000152266,ENSG00000157404,ENSG00000113721,ENSG00000120805,ENSG00000144891,ENSG00000077782,ENSG00000064547,ENSG00000143322"
"GO:BP","chloride transport","GO:0006821","0.0013026868453232681","2.8851599723868415","85","1309","22","16178","ENSG00000094755,ENSG00000163288,ENSG00000109158,ENSG00000124067,ENSG00000064651,ENSG00000011677,ENSG00000151834,ENSG00000113327,ENSG00000022355,ENSG00000163285,ENSG00000186297,ENSG00000182256,ENSG00000166206,ENSG00000134343,ENSG00000187730,ENSG00000145864,ENSG00000145863,ENSG00000102287,ENSG00000268089,ENSG00000081923,ENSG00000145451,ENSG00000157103"
"GO:BP","regulation of dendritic spine development","GO:0060998","0.0013105882640260373","2.88253372535558","33","1804","15","16178","ENSG00000080815,ENSG00000130203,ENSG00000198785,ENSG00000130294,ENSG00000105426,ENSG00000113758,ENSG00000058404,ENSG00000102081,ENSG00000161681,ENSG00000170921,ENSG00000189056,ENSG00000171862,ENSG00000154642,ENSG00000157193,ENSG00000081189"
"GO:BP","membrane protein ectodomain proteolysis","GO:0006509","0.0013363029496236208","2.8740950729721195","44","1472","16","16178","ENSG00000080815,ENSG00000143801,ENSG00000130203,ENSG00000137845,ENSG00000162736,ENSG00000205155,ENSG00000117362,ENSG00000137673,ENSG00000186318,ENSG00000150594,ENSG00000138600,ENSG00000232810,ENSG00000125538,ENSG00000111537,ENSG00000168785,ENSG00000182240"
"GO:BP","dendritic spine organization","GO:0097061","0.0013614461993487962","2.865999516121741","61","2071","23","16178","ENSG00000164885,ENSG00000130203,ENSG00000273079,ENSG00000176749,ENSG00000130294,ENSG00000175344,ENSG00000100151,ENSG00000188906,ENSG00000163110,ENSG00000113758,ENSG00000171105,ENSG00000010810,ENSG00000058404,ENSG00000161681,ENSG00000170921,ENSG00000189056,ENSG00000095970,ENSG00000171862,ENSG00000138311,ENSG00000116106,ENSG00000157193,ENSG00000171867,ENSG00000140443"
"GO:BP","amyloid fibril formation","GO:1990000","0.0015530299422944066","2.808820171027475","41","8","3","16178","ENSG00000142192,ENSG00000080815,ENSG00000130203"
"GO:BP","positive regulation of protein serine/threonine kinase activity","GO:0071902","0.0015644257236145204","2.8056450516230047","127","2164","38","16178","ENSG00000196396,ENSG00000169252,ENSG00000076984,ENSG00000073712,ENSG00000168067,ENSG00000188906,ENSG00000113721,ENSG00000173327,ENSG00000069696,ENSG00000141736,ENSG00000150594,ENSG00000113575,ENSG00000142208,ENSG00000157368,ENSG00000077782,ENSG00000135341,ENSG00000012223,ENSG00000163221,ENSG00000145335,ENSG00000100311,ENSG00000232810,ENSG00000197122,ENSG00000171105,ENSG00000181092,ENSG00000125538,ENSG00000111537,ENSG00000259384,ENSG00000111961,ENSG00000146648,ENSG00000149269,ENSG00000113578,ENSG00000101843,ENSG00000112715,ENSG00000197461,ENSG00000078401,ENSG00000151694,ENSG00000138685,ENSG00000160014"
"GO:BP","glycerolipid biosynthetic process","GO:0045017","0.0015806339302740463","2.8011686996252982","227","229","15","16178","ENSG00000073060,ENSG00000100330,ENSG00000131408,ENSG00000143393,ENSG00000139505,ENSG00000115020,ENSG00000163719,ENSG00000051382,ENSG00000147246,ENSG00000145675,ENSG00000156471,ENSG00000143398,ENSG00000102468,ENSG00000197943,ENSG00000168918"
"GO:BP","positive regulation of binding","GO:0051099","0.001641312565491263","2.78480870563683","123","24","5","16178","ENSG00000142192,ENSG00000080815,ENSG00000130203,ENSG00000010704,ENSG00000082701"
"GO:BP","regulation of plasma lipoprotein particle levels","GO:0097006","0.0017202618882956682","2.764405432171663","67","1590","21","16178","ENSG00000130203,ENSG00000073060,ENSG00000064687,ENSG00000005381,ENSG00000165029,ENSG00000130208,ENSG00000160179,ENSG00000101670,ENSG00000144891,ENSG00000182718,ENSG00000084674,ENSG00000166035,ENSG00000146070,ENSG00000087237,ENSG00000181092,ENSG00000175445,ENSG00000234906,ENSG00000100292,ENSG00000095970,ENSG00000135744,ENSG00000099139"
"GO:BP","regulation of calcium ion transport","GO:0051924","0.001732941288343288","2.7612161508351103","179","1318","35","16178","ENSG00000176884,ENSG00000143801,ENSG00000116032,ENSG00000136717,ENSG00000105383,ENSG00000149295,ENSG00000120910,ENSG00000153956,ENSG00000113721,ENSG00000196632,ENSG00000221823,ENSG00000120899,ENSG00000148834,ENSG00000069696,ENSG00000198626,ENSG00000187116,ENSG00000150594,ENSG00000151067,ENSG00000157388,ENSG00000067191,ENSG00000126266,ENSG00000107758,ENSG00000145335,ENSG00000100311,ENSG00000089041,ENSG00000113448,ENSG00000010610,ENSG00000070961,ENSG00000010810,ENSG00000184588,ENSG00000058404,ENSG00000102081,ENSG00000070808,ENSG00000182389,ENSG00000099625"
