symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ADRB2	0.6114267142607331	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.994061560251845	No data	No data	No data	No data	No data	No data	0.23377914360299543	No data	No data	1	0	0	1	1	1	0.4067799999999998	1	-0.3875807459887477	-0.9089583874335985	0	-1	No data	0	-1	0
ADRA1A	0.6094990108858942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9938152560913136	No data	No data	No data	No data	No data	No data	0.17528671331135076	No data	No data	1	0	0	1	1	0	0.5708150000000003	0	0.5335486559699938	-0.5954762182301893	0	-1	No data	0	0.5	0
PLAT	0.6075790678313502	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9742603028244099	No data	No data	No data	No data	No data	No data	0.5032225678995537	No data	No data	1	0	1	1	1	0	0	No data	-0.34309231089810377	-0.9327510506473685	0	-1	No data	0	0.5	0
ADRA1D	0.6072066384988499	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9938152560913136	No data	No data	No data	No data	No data	No data	0.09987114311650791	No data	No data	1	1	0	1	1	0	0.21328499999999978	1	0.46488851844134205	-0.8229130970392914	0	No data	No data	0	0.5	0
NR3C2	0.6057132116559755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9635054796244767	No data	No data	No data	No data	No data	No data	0.6569351973333271	No data	No data	1	0	0	1	1	0	0.5375999999999997	1	-0.6892060846009586	-0.8904089704606596	0	-1	No data	0	-1	-1
ADRA1B	0.6053412375206912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9938152560913136	No data	No data	No data	No data	No data	No data	0.038502283848736	No data	No data	1	1	0	1	1	0	0.7692300000000003	0	-0.1549281100229214	-0.9323474287510244	0	-1	No data	0	0.5	0
CACNA1C	0.6052967965576245	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9881318497243592	No data	No data	No data	No data	No data	No data	0.15070837099372805	No data	No data	1	1	0	1	1	0	0.749765	No data	-0.9779120650135444	-0.9667394690102562	0	-1	No data	-0.18264749999999985	0.5	0
CACNA1D	0.6014549432577456	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9881318497243592	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	0	0	1	1	0	0.8172150000000002	No data	-0.8719524901021046	-0.9509097168963865	0	No data	-1	-0.16473750000000004	-1	0
CACNA1F	0.6007157835483762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9881318497243592	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6007100000000001	No data	-0.5617837049385288	-0.8199485900453143	0	No data	No data	-0.18870749999999994	1	0.5
CACNA1S	0.6007157835483762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9881318497243592	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5488500000000002	No data	-0.46978537195249015	-0.8930280087452391	0	-1	No data	-0.13507749999999988	0.75	0.5
